net,sta,lat,lon,elev,name,t0,t1
Z6,920,47.593618,-122.299262,65.0,Converted from UTM Zone 10N,2019-07-14T01:15:21,2019-08-10T21:40:08
Z6,922,47.587569,-122.300367,37.0,Converted from UTM Zone 10N,2019-07-14T16:21:49,2019-08-10T21:25:27
Z6,923,47.581125,-122.306064,76.0,Converted from UTM Zone 10N,2019-07-14T17:05:15,2019-08-10T21:15:30
Z6,924,47.579716,-122.306668,61.0,Converted from UTM Zone 10N,2019-07-14T17:27:36,2019-08-10T21:08:58
Z6,927,47.598036,-122.299243,79.0,Converted from UTM Zone 10N,2019-07-14T00:00:58,2019-08-10T23:13:38
Z6,928,47.592347,-122.298973,57.0,Converted from UTM Zone 10N,2019-07-14T02:18:07,2019-08-10T21:33:07
Z6,929,47.576238,-122.307312,81.0,Converted from UTM Zone 10N,2019-07-14T17:51:44,2019-08-10T20:59:15
Z6,930,47.577676,-122.305591,66.0,Converted from UTM Zone 10N,2019-07-14T18:17:54,2019-08-10T21:04:46
Z6,931,47.581049,-122.302368,76.0,Converted from UTM Zone 10N,2019-07-14T19:19:07,2019-08-10T20:28:27
Z6,932,47.573736,-122.307199,91.0,Converted from UTM Zone 10N,2019-07-14T19:41:04,2019-08-11T17:32:02
Z6,940,47.572406,-122.307602,94.0,Converted from UTM Zone 10N,2019-07-15T16:35:23,2019-08-11T17:45:15
Z6,941,47.591269,-122.29924,52.0,Converted from UTM Zone 10N,2019-07-15T17:55:27,2019-08-11T17:13:07
Z6,97,47.579436,-122.291751,46.0,Converted from UTM Zone 10N,2019-07-13T02:43:45,2019-08-10T17:03:30
Z6,98,47.581239,-122.292286,55.0,Converted from UTM Zone 10N,2019-07-13T02:06:37,2019-08-10T16:53:31
Z6,99,47.586046,-122.292593,73.0,Converted from UTM Zone 10N,2019-07-13T01:43:32,2019-08-10T16:33:38
